job-id,userid,expected-time-to-completion,memory,priority,arrival-time,submitted,gpuid
0,702,4,55,2,5,5,1
1,702,1,49,2,6,6,2
2,702,1,53,2,7,7,3
3,702,4,37,2,8,8,2
4,702,1,19,2,14,14,1
5,702,9,9,2,22,22,1
6,509,2,32,2,23,23,2
7,360,6,10,2,26,26,2
8,360,6,5,2,27,27,3
9,360,5,116,2,32,32,1
10,360,6,12,2,33,33,2
11,360,5,24,2,37,37,3
12,360,3,5,2,37,38,1
13,360,2,6,2,39,39,4
14,943,2,60,2,42,42,1
15,943,2,15,2,43,43,2
16,943,4,33,2,45,45,1
17,943,3,27,2,48,48,2
18,306,2,5,2,49,49,3
19,306,3,7,2,54,54,1
20,306,3,14,2,54,55,2
21,306,7,48,2,59,59,1
22,225,1,6,2,63,63,2
23,225,1,33,2,64,64,3
24,225,1,48,2,65,65,2
25,225,2,26,2,66,66,3
26,225,5,5,2,70,70,1
27,225,10,3,2,71,71,2
28,225,8,3,2,71,72,3
29,564,3,41,2,71,73,4
30,867,8,53,2,75,75,5
31,582,4,148,2,77,77,1
32,582,3,30,2,78,78,4
33,837,2,27,2,79,79,6
34,837,2,16,2,83,83,1
35,837,1,31,2,84,84,2
36,837,1,9,2,85,85,3
37,837,3,2,2,85,86,1
38,837,15,8,2,91,91,1
39,837,2,12,2,94,94,2
40,837,2,8,2,94,95,3
41,837,5,16,2,95,96,4
42,837,2,60,2,95,97,2
43,837,1,97,2,99,99,3
44,837,3,16,2,102,102,2
45,472,2,39,2,103,103,3
46,472,6,1,2,103,104,4
47,472,2,16,2,103,105,5
48,472,2,25,2,110,110,1
49,879,5,8,2,111,111,2
50,879,1,11,2,111,112,3
51,879,4,18,2,111,113,1
52,879,2,33,2,111,114,3
53,879,3,8,2,114,115,4
54,879,5,17,2,115,116,5
55,879,4,13,2,115,117,2
56,879,2,41,2,117,118,1
57,879,1,57,2,118,119,3
58,666,3,46,2,120,120,4
59,666,2,16,2,127,127,1
60,666,4,18,2,127,128,2
61,666,5,24,2,129,129,3
62,666,3,30,2,131,131,1
63,666,1,6,2,136,136,1
64,666,1,152,2,138,138,1
65,666,4,28,2,144,144,1
66,666,3,5,2,144,145,2
