job-id,userid,expected-time-to-completion,memory,priority,arrival-time
0,702,4,55,2,5
1,702,1,49,2,6
2,702,1,53,2,7
3,702,4,37,2,8
4,702,1,19,2,14
5,702,9,9,2,22
6,509,2,32,2,23
7,360,6,10,2,26
8,360,6,5,2,27
9,360,5,116,2,32
10,360,6,12,2,33
11,360,5,24,2,37
12,360,3,5,2,37
13,360,2,6,2,39
14,943,2,60,2,42
15,943,2,15,2,43
16,943,4,33,2,45
17,943,3,27,2,48
18,306,2,5,2,49
19,306,3,7,2,54
20,306,3,14,2,54
21,306,7,48,2,59
22,225,1,6,2,63
23,225,1,33,2,64
24,225,1,48,2,65
25,225,2,26,2,66
26,225,5,5,2,70
27,225,10,3,2,71
28,225,8,3,2,71
29,564,3,41,2,71
30,867,8,53,2,75
31,582,4,148,2,77
32,582,3,30,2,78
33,837,2,27,2,79
34,837,2,16,2,83
35,837,1,31,2,84
36,837,1,9,2,85
37,837,3,2,2,85
38,837,15,8,2,91
39,837,2,12,2,94
40,837,2,8,2,94
41,837,5,16,2,95
42,837,2,60,2,95
43,837,1,97,2,99
44,837,3,16,2,102
45,472,2,39,2,103
46,472,6,1,2,103
47,472,2,16,2,103
48,472,2,25,2,110
49,879,5,8,2,111
50,879,1,11,2,111
51,879,4,18,2,111
52,879,2,33,2,111
53,879,3,8,2,114
54,879,5,17,2,115
55,879,4,13,2,115
56,879,2,41,2,117
57,879,1,57,2,118
58,666,3,46,2,120
59,666,2,16,2,127
60,666,4,18,2,127
61,666,5,24,2,129
62,666,3,30,2,131
63,666,1,6,2,136
64,666,1,152,2,138
65,666,4,28,2,144
66,666,3,5,2,144
67,666,5,52,2,152
68,666,3,24,2,152
69,666,4,8,2,154
70,666,1,18,2,154
71,666,4,18,2,155
72,666,4,21,2,157
73,666,7,15,2,158
74,666,3,6,2,158
75,793,4,16,2,158
76,793,4,3,2,160
77,793,2,39,2,161
78,524,2,23,1,162
79,524,6,3,1,164
80,524,7,19,1,165
81,524,1,58,1,168
82,524,6,5,1,170
83,524,2,27,1,176
84,524,5,18,1,179
85,524,2,22,1,184
86,524,1,24,1,184
87,524,6,134,1,187
88,524,4,31,1,188
89,531,3,4,2,190
90,531,3,49,2,194
91,531,1,27,2,197
92,406,11,14,2,198
93,406,3,26,2,200
94,405,4,32,2,202
95,405,1,22,2,205
96,405,2,32,2,206
97,405,4,73,2,208
98,405,1,28,2,210
99,405,1,33,2,210
100,405,2,7,2,211
101,405,2,7,2,212
102,296,7,10,2,213
103,296,3,5,2,214
104,215,3,41,2,215
105,215,2,24,2,217
106,215,2,5,2,217
107,215,3,31,2,217
108,215,2,96,2,217
109,215,3,34,2,218
110,215,2,9,2,222
111,215,8,17,2,222
112,194,1,11,2,223
113,194,5,3,2,225
114,194,1,31,2,226
115,194,7,42,2,227
116,194,5,2,2,227
117,353,6,67,2,229
118,644,7,15,1,229
119,779,1,87,2,233
120,779,1,11,2,235
121,779,4,44,2,235
122,779,11,43,2,236
123,779,2,39,2,242
124,779,1,48,2,245
125,779,1,24,2,248
126,779,3,13,2,249
127,779,3,16,2,252
128,779,5,11,2,255
129,779,7,8,2,255
130,779,2,4,2,256
131,779,8,14,2,259
132,779,10,15,2,262
133,779,3,3,2,264
134,779,2,31,2,270
135,779,17,33,2,271
136,779,3,19,2,274
137,779,5,59,2,280
138,779,2,21,2,281
139,779,5,35,2,281
140,779,5,18,2,286
141,478,2,33,1,287
142,478,9,20,1,287
143,478,6,120,1,288
144,478,3,3,1,289
145,478,5,5,1,291
146,397,3,52,2,292
147,736,2,2,2,295
148,736,4,144,2,302
149,736,1,107,2,303
150,736,5,65,2,303
151,736,3,41,2,304
152,375,1,40,2,305
153,375,2,19,2,306
154,375,1,8,2,307
155,375,4,8,2,314
156,375,2,57,2,317
157,375,4,32,2,317
158,375,2,54,2,318
159,375,2,47,2,318
160,375,2,22,2,323
161,375,1,8,2,324
162,375,1,35,2,325
163,375,4,20,2,326
164,375,2,7,2,327
165,58,7,49,2,329
166,58,2,9,2,331
167,281,4,2,2,335
168,281,6,115,2,337
169,281,6,21,2,339
170,281,13,33,2,340
171,281,1,20,2,342
172,281,2,12,2,343
173,281,4,17,2,348
174,281,2,80,2,352
175,281,1,37,2,356
176,281,5,43,2,357
177,281,4,20,2,357
178,281,2,7,2,359
179,281,3,35,2,359
180,281,1,35,2,362
181,281,1,6,2,365
182,281,2,35,2,366
183,281,1,15,2,367
184,140,6,10,1,373
185,140,6,29,1,374
186,140,5,14,1,384
187,140,1,68,1,386
188,931,4,3,1,392
189,931,4,51,1,396
190,931,4,7,1,397
191,931,3,28,1,398
192,931,1,14,1,400
193,931,5,14,1,403
194,931,1,42,1,411
195,931,8,35,1,411
196,470,6,38,2,412
197,470,2,33,2,413
198,470,1,70,2,419
199,470,1,30,2,420
200,470,1,3,2,423
201,470,1,10,2,427
202,470,1,25,2,427
203,470,3,5,2,428
204,470,2,35,2,430
205,470,17,54,2,432
206,470,1,93,2,436
207,470,3,9,2,439
208,597,14,7,2,440
209,597,1,1,2,443
210,597,2,8,2,443
211,597,4,14,2,450
212,597,5,31,2,451
213,597,3,7,2,453
214,597,1,8,2,453
215,597,3,15,2,455
216,624,5,37,2,455
217,624,1,2,2,457
218,624,4,41,2,459
219,624,4,58,2,463
220,624,3,71,2,464
221,624,2,4,2,465
222,624,1,77,2,467
223,624,1,11,2,468
224,624,8,34,2,473
225,287,8,12,2,474
226,287,2,9,2,478
227,287,2,5,2,480
228,287,6,10,2,483
229,287,3,10,2,487
230,287,2,18,2,492
231,287,5,30,2,493
232,287,8,48,2,496
233,287,1,4,2,496
234,287,5,51,2,498
235,287,1,3,2,501
236,287,2,1,2,502
237,287,5,27,2,502
238,287,1,3,2,504
239,287,4,71,2,511
240,287,6,26,2,515
241,287,5,34,2,516
242,287,6,3,2,518
243,287,4,21,2,520
244,98,1,32,2,526
245,98,8,25,2,527
246,97,8,8,2,533
247,97,2,5,2,535
248,97,7,71,2,536
249,412,8,11,1,536
250,412,3,33,1,537
251,412,3,63,1,539
252,412,3,23,1,539
253,412,10,34,1,540
254,412,9,2,1,541
255,147,3,67,1,542
256,46,7,69,1,545
257,46,4,9,1,549
258,46,2,16,1,550
259,46,6,12,1,552
260,46,4,33,1,553
261,797,2,12,1,557
262,797,5,72,1,561
263,797,6,21,1,564
264,797,5,17,1,565
265,797,4,9,1,568
266,797,2,47,1,570
267,797,2,25,1,572
268,797,1,98,1,580
269,797,1,33,1,583
270,384,3,28,2,587
271,199,7,80,2,591
272,754,7,47,2,592
273,754,2,1,2,596
274,754,7,4,2,598
275,754,3,29,2,598
276,754,3,11,2,598
277,754,1,14,2,610
278,969,3,14,1,614
279,969,8,30,1,614
280,969,5,14,1,616
281,652,6,46,2,620
282,427,3,3,2,621
283,427,2,49,2,621
284,427,2,75,2,624
285,427,2,1,2,624
286,427,3,59,2,629
287,427,2,6,2,630
288,6,4,12,1,631
289,6,1,13,1,631
290,6,4,6,1,631
291,6,3,28,1,639
292,6,1,25,1,640
293,6,2,56,1,640
294,6,2,34,1,640
295,6,7,48,1,641
296,6,2,10,1,643
297,605,4,17,1,644
298,605,4,12,1,645
299,605,3,15,1,646
300,605,3,10,1,647
301,605,1,23,1,647
302,605,6,59,1,647
303,605,2,56,1,648
304,605,1,12,1,652
305,605,1,2,1,653
306,605,4,52,1,654
307,605,9,46,1,655
308,605,4,26,1,661
309,605,3,11,1,662
310,605,4,33,1,663
