jobid,total_wait,priority
0,3,2
1,6,2
2,8,2
3,6,2
4,2,2
5,1,2
6,1,2
7,4,2
8,4,2
9,5,2
10,6,2
11,4,2
12,9,2
13,3,2
14,2,2
15,2,2
16,2,2
17,12,2
18,6,2
19,7,2
20,2,2
21,4,2
22,5,2
23,2,2
24,2,2
25,4,2
26,5,2
27,2,2
28,8,2
29,7,2
30,3,2
31,1,2
32,4,2
33,3,2
34,3,2
35,6,2
36,6,2
37,5,2
38,6,2
39,2,2
40,3,2
41,3,2
42,5,2
43,5,2
44,6,2
45,1,2
46,2,2
47,6,2
48,1,2
49,4,2
50,5,2
51,6,2
52,1,2
53,4,2
54,2,2
55,2,2
56,6,2
57,3,2
58,2,2
59,3,2
60,4,2
61,10,2
62,4,2
63,1,2
64,1,2
65,2,2
66,2,2
67,3,2
68,5,2
69,4,2
70,3,2
71,3,2
72,2,2
73,3,2
74,4,2
75,5,2
76,2,2
77,3,2
78,4,2
79,4,2
80,3,2
81,2,2
82,4,2
83,6,2
84,4,2
85,7,2
86,1,2
87,4,2
88,3,2
89,6,2
90,2,2
91,3,2
92,4,2
93,5,2
94,3,2
95,4,2
96,4,2
97,15,2
98,4,2
99,8,2
100,2,2
101,2,2
102,7,2
103,1,2
104,5,2
105,10,2
106,3,2
107,7,2
108,7,2
109,2,2
110,5,2
111,2,2
112,3,2
113,3,2
114,4,2
115,1,2
116,1,2
117,2,2
118,9,2
119,7,2
120,8,2
121,1,2
122,1,2
123,13,2
124,3,2
125,8,2
126,2,2
127,1,2
128,6,2
129,8,2
130,4,2
131,2,2
132,6,2
133,6,2
134,7,2
135,3,2
136,3,2
137,5,2
138,10,2
139,4,2
140,3,2
141,4,2
142,13,2
143,4,2
144,2,2
145,5,2
146,3,2
147,3,2
148,1,2
149,7,2
150,3,2
151,7,2
152,4,2
153,2,1
154,5,2
155,4,1
156,3,1
157,2,2
158,3,2
159,1,2
160,3,2
161,4,2
162,3,2
163,2,2
164,3,2
165,15,2
166,9,2
167,6,2
168,10,2
169,299,3
170,19,3
171,155,3
172,78,3
173,396,3
174,213,3
175,34,3
176,1172,3
177,1375,3
178,140,3
179,1005,3
180,42416,3
181,577,3
182,3791,3
183,7343,3
184,1618,3
185,2980,3
186,425,3
187,1621,3
188,5283,3
189,1108,3
190,11650,3
191,2638,2
192,2663,2
193,3059,2
194,2232,2
195,20,2
196,2270,2
197,22,2
198,165,2
199,10287,2
200,3643,2
201,3792,2
202,6859,2
203,1020,2
204,1029,2
205,2144,2
206,2224,2
207,79,2
208,139,2
209,142,2
210,253,2
211,83,1
212,4631,1
213,4742,1
214,3770,2
215,448,2
216,2914,2
217,2164,2
218,2167,2
219,1045,2
220,199,1
221,500,1
222,3211,1
223,2264,1
224,1122,1
225,25560,1
226,2326,2
227,220,2
228,3522,2
229,3532,2
230,1822,1
231,2628,1
232,10711,1
233,6758,1
234,2869,1
235,262,1
236,264,1
237,1394,1
238,154,1
239,4191,1
240,152,1
241,294,1
242,1039,1
243,462,1
244,4341,1
245,165,1
246,307,2
247,307,2
248,67,2
249,4574,2
250,6108,2
251,2387,2
252,3431,2
253,763,2
254,2413,2
255,4755,2
256,4762,2
257,6298,2
258,3686,2
259,1842,2
260,6568,2
261,342,2
262,344,2
263,348,2
264,2753,2
265,11011,2
266,853,2
267,204,2
268,867,2
269,220,2
270,912,2
271,916,2
272,218,2
273,2033,2
274,219,2
275,219,2
276,95,2
277,388,2
278,4184,2
279,961,2
280,97,2
281,963,2
282,104,2
283,404,2
284,1000,2
285,239,2
286,111,2
287,857,3
288,300,3
289,1251,3
290,9732,3
291,696,3
292,10464,3
293,151,3
294,2555,3
295,1436,3
296,1842,3
297,3010,3
298,17732,3
299,5834,3
300,6508,2
301,3733,2
302,767,2
303,48045,2
304,31607,2
305,1232,2
306,784,2
307,277,2
308,2743,2
309,126,2
310,130,2
311,281,2
312,124,2
313,126,2
314,841,2
315,1962,2
316,130,2
317,859,2
318,129,2
319,131,2
320,1981,2
321,298,2
322,1992,2
323,297,2
324,1356,2
325,132,2
326,892,2
327,142,2
328,1385,2
329,37912,2
330,3000,2
331,2063,2
332,2098,2
333,33060,2
334,38243,2
335,2208,2
336,3233,2
337,2218,2
338,2257,2
339,2269,2
340,3315,2
341,3371,2
342,6151,2
343,2354,2
344,2366,2
345,3451,2
346,2418,2
347,6349,2
348,1666,2
349,2496,2
350,17552,2
351,647,2
352,10694,2
353,8643,2
354,1121,2
355,14365,2
356,6767,2
357,158,2
358,2629,2
359,678,2
360,158,2
361,5148,2
362,2673,2
363,3808,2
364,691,2
365,5200,2
366,699,2
367,702,2
368,702,2
369,1186,1
370,1818,1
371,717,2
372,3934,2
373,729,2
374,1211,2
375,2794,2
376,1854,2
377,725,2
378,731,2
379,730,2
380,1855,2
381,166,2
382,741,2
383,4261,3
384,2837,2
385,169,2
386,766,2
387,171,2
388,1258,1
389,1258,1
390,773,1
391,773,1
392,1263,1
393,7280,1
394,9497,1
395,4209,2
396,4254,2
397,12465,2
398,3021,2
399,3046,2
400,2051,2
401,5835,2
402,4545,3
403,1725,3
404,4405,3
405,3703,3
406,6033,3
407,40724,3
408,2188,2
409,16692,2
410,1450,2
411,3308,2
412,1461,2
413,2270,2
414,2516,3
415,3024,3
416,2987,3
417,3583,3
418,1727,3
419,4245,3
420,1622,3
421,14189,3
422,10409,2
423,2370,2
424,6368,2
425,6370,2
426,942,2
427,957,2
428,8397,2
429,6519,2
430,962,2
431,965,2
432,14199,2
433,4950,2
434,972,2
435,977,2
436,517,2
437,2484,2
438,525,2
439,540,2
440,5593,3
441,3095,3
442,2257,3
443,2562,3
444,2642,3
445,11109,3
446,1434,3
447,2808,3
448,3718,2
449,3733,2
450,3743,2
451,1027,2
452,1665,2
453,1036,2
454,3795,2
455,8752,2
456,5160,2
457,573,2
458,1048,2
459,577,2
460,2648,2
461,1055,2
462,579,1
463,577,1
464,580,1
465,3838,2
466,5220,2
467,590,2
468,1064,2
469,5222,2
470,589,2
471,1725,2
472,1078,2
473,3889,2
474,3890,2
475,600,2
476,602,2
477,15019,2
478,603,2
479,605,2
480,606,2
481,1094,2
482,610,2
483,7091,2
484,7122,1
485,2746,1
486,44366,1
487,9306,1
488,2779,1
489,15636,1
490,2808,1
491,4062,1
492,2816,2
493,2818,1
494,2828,1
495,2841,1
496,4101,1
497,4113,1
498,1856,1
499,4130,2
500,4133,2
501,4138,2
502,2909,2
503,2928,2
504,2931,2
505,2933,2
506,5685,2
507,7519,2
508,1947,2
509,1954,2
510,3001,2
511,4266,2
512,4287,2
513,1975,2
514,2005,1
515,4383,1
516,3096,1
517,2048,1
518,697,1
519,7786,1
520,3131,1
521,2087,1
522,3150,1
523,2102,1
524,2109,1
525,2116,2
526,2116,2
527,2139,2
528,2147,2
529,6063,2
530,2165,2
531,2164,2
532,6111,2
533,6156,2
534,295,2
535,6201,2
536,746,2
537,17585,2
538,6321,2
539,304,2
540,8283,2
541,4717,2
542,760,2
543,8323,2
544,761,2
545,767,2
546,767,2
547,309,2
548,3372,2
549,309,2
550,309,2
551,310,2
552,2279,2
553,313,2
554,3407,2
555,777,2
556,4790,2
557,2293,2
558,785,2
559,3420,2
560,786,2
561,1404,2
562,2315,2
563,323,2
564,323,2
565,324,2
566,796,2
567,2344,2
568,802,2
569,329,2
570,333,2
571,4884,2
572,1448,2
573,4898,2
574,811,2
575,4905,2
576,6563,2
577,11043,2
578,8513,2
579,4933,2
580,339,2
581,340,2
582,341,2
583,344,2
584,3573,2
585,1469,2
586,819,2
587,403,3
588,1580,3
589,3671,3
590,2504,3
591,1482,3
592,377,3
593,990,3
594,1102,3
595,5015,3
596,24706,3
597,1493,1
598,5015,1
599,1498,1
600,364,1
601,3653,1
602,34953,1
603,362,1
604,374,3
605,45152,3
606,1821,3
607,2508,3
608,599,3
609,15147,3
610,1142,3
611,7423,3
612,3043,3
613,2532,3
614,15363,3
615,7040,3
616,9336,3
617,20072,3
618,9211,3
619,2533,2
620,3800,2
621,2557,2
622,2563,2
623,1577,2
624,2574,2
625,20091,2
626,3829,2
627,25260,2
628,5319,2
629,1603,2
630,5351,2
631,2633,2
632,2666,2
633,15839,2
634,2689,2
635,2679,2
636,2680,2
637,5425,2
638,3973,2
639,2714,2
640,2720,2
641,2724,2
