job-id,userid,expected-time-to-completion,memory,priority,arrival-time,submitted,gpuid
0,723,3,33,2,4,4,1
1,723,6,17,2,5,5,2
2,366,8,67,2,6,6,3
3,366,6,15,2,10,10,1
4,366,1,26,2,10,11,4
5,366,1,62,2,13,13,2
6,366,1,24,2,16,16,2
7,366,4,44,2,21,21,1
8,366,4,24,2,23,23,2
9,366,5,42,2,25,25,3
10,366,6,9,2,32,32,1
11,366,3,12,2,32,33,2
12,366,9,1,2,34,34,3
13,366,3,7,2,35,35,4
14,366,2,80,2,43,43,1
15,366,2,16,2,44,44,2
16,366,2,4,2,45,45,3
17,366,12,5,2,46,46,1
18,366,6,132,2,47,47,2
19,366,7,101,2,50,50,3
20,366,2,42,2,53,53,4
21,366,3,54,2,53,54,2
22,949,5,4,2,57,57,4
23,949,1,13,2,57,58,2
24,949,2,7,2,61,61,1
25,384,4,5,2,63,63,2
26,384,5,23,2,67,67,1
27,384,1,16,2,67,68,2
28,607,8,68,2,70,70,2
29,834,7,32,2,73,73,1
30,834,3,103,2,75,75,3
31,834,1,24,2,80,80,2
32,834,4,7,2,83,83,1
33,834,2,1,2,83,84,2
34,834,2,23,2,84,85,3
35,834,6,38,2,86,86,4
36,834,5,2,2,86,87,2
37,834,4,13,2,87,88,1
38,834,5,34,2,88,89,3
39,433,2,18,2,90,90,5
40,796,3,19,2,96,96,1
41,796,3,12,2,97,97,2
42,796,4,35,2,97,98,3
43,796,3,144,2,97,99,4
44,796,4,50,2,98,100,1
45,796,1,2,2,101,101,2
46,796,1,40,2,101,102,5
47,796,6,40,2,107,107,1
48,796,1,3,2,108,108,2
49,796,3,37,2,108,109,3
50,796,4,25,2,109,110,2
51,796,5,149,2,110,111,4
52,796,1,26,2,112,112,5
53,796,4,48,2,113,113,3
54,796,2,25,2,114,114,1
55,747,2,20,2,116,116,2
56,747,6,13,2,117,117,1
57,747,3,14,2,118,118,3
58,747,1,37,2,118,119,2
59,747,3,87,2,121,121,2
60,747,4,10,2,123,123,3
61,747,10,22,2,124,124,1
62,747,4,8,2,134,134,2
63,747,1,12,2,139,139,1
64,747,1,21,2,141,141,1
65,270,2,60,2,142,142,2
66,270,2,122,2,145,145,1
67,270,3,30,2,148,148,1
68,270,5,49,2,149,149,2
69,270,4,57,2,151,151,3
70,957,3,36,2,152,152,1
71,957,2,20,2,152,153,4
72,957,2,42,2,155,155,2
73,957,3,1,2,157,157,1
74,728,4,141,2,162,162,1
75,728,5,77,2,163,163,2
76,728,1,63,2,163,164,3
77,728,2,4,2,164,165,4
78,728,3,44,2,165,166,3
79,728,4,24,2,168,168,1
80,728,3,48,2,169,169,2
81,728,2,20,2,176,176,1
82,728,3,13,2,176,177,2
83,728,5,5,2,177,178,3
84,175,2,5,2,177,179,1
85,175,6,73,2,179,180,4
86,175,1,18,2,181,181,2
87,175,3,27,2,181,182,1
88,175,1,23,2,181,183,2
89,175,4,74,2,182,184,3
90,175,2,26,2,186,186,1
91,175,2,49,2,186,187,2
92,162,4,39,2,188,188,4
93,409,5,27,2,189,189,1
