job-id,userid,expected-time-to-completion,memory,priority,arrival-time
0,723,3,33,2,4
1,723,6,17,2,5
2,366,8,67,2,6
3,366,6,15,2,10
4,366,1,26,2,10
5,366,1,62,2,13
6,366,1,24,2,16
7,366,4,44,2,21
8,366,4,24,2,23
9,366,5,42,2,25
10,366,6,9,2,32
11,366,3,12,2,32
12,366,9,1,2,34
13,366,3,7,2,35
14,366,2,80,2,43
15,366,2,16,2,44
16,366,2,4,2,45
17,366,12,5,2,46
18,366,6,132,2,47
19,366,7,101,2,50
20,366,2,42,2,53
21,366,3,54,2,53
22,949,5,4,2,57
23,949,1,13,2,57
24,949,2,7,2,61
25,384,4,5,2,63
26,384,5,23,2,67
27,384,1,16,2,67
28,607,8,68,2,70
29,834,7,32,2,73
30,834,3,103,2,75
31,834,1,24,2,80
32,834,4,7,2,83
33,834,2,1,2,83
34,834,2,23,2,84
35,834,6,38,2,86
36,834,5,2,2,86
37,834,4,13,2,87
38,834,5,34,2,88
39,433,2,18,2,90
40,796,3,19,2,96
41,796,3,12,2,97
42,796,4,35,2,97
43,796,3,144,2,97
44,796,4,50,2,98
45,796,1,2,2,101
46,796,1,40,2,101
47,796,6,40,2,107
48,796,1,3,2,108
49,796,3,37,2,108
50,796,4,25,2,109
51,796,5,149,2,110
52,796,1,26,2,112
53,796,4,48,2,113
54,796,2,25,2,114
55,747,2,20,2,116
56,747,6,13,2,117
57,747,3,14,2,118
58,747,1,37,2,118
59,747,3,87,2,121
60,747,4,10,2,123
61,747,10,22,2,124
62,747,4,8,2,134
63,747,1,12,2,139
64,747,1,21,2,141
65,270,2,60,2,142
66,270,2,122,2,145
67,270,3,30,2,148
68,270,5,49,2,149
69,270,4,57,2,151
70,957,3,36,2,152
71,957,2,20,2,152
72,957,2,42,2,155
73,957,3,1,2,157
74,728,4,141,2,162
75,728,5,77,2,163
76,728,1,63,2,163
77,728,2,4,2,164
78,728,3,44,2,165
79,728,4,24,2,168
80,728,3,48,2,169
81,728,2,20,2,176
82,728,3,13,2,176
83,728,5,5,2,177
84,175,2,5,2,177
85,175,6,73,2,179
86,175,1,18,2,181
87,175,3,27,2,181
88,175,1,23,2,181
89,175,4,74,2,182
90,175,2,26,2,186
91,175,2,49,2,186
92,162,4,39,2,188
93,409,5,27,2,189
94,409,2,5,2,189
95,916,3,2,2,190
96,916,4,1,2,192
97,916,15,12,2,194
98,916,3,20,2,194
99,916,8,39,2,197
100,916,2,10,2,199
101,916,2,31,2,200
102,916,7,31,2,202
103,916,1,20,2,205
104,916,5,32,2,208
105,916,10,57,2,212
106,916,2,44,2,212
107,916,7,29,2,218
108,916,7,14,2,219
109,916,2,21,2,225
110,916,5,21,2,226
111,916,2,31,2,228
112,916,3,76,2,230
113,916,3,4,2,231
114,916,4,34,2,233
115,916,1,14,2,237
116,947,1,2,2,238
117,947,2,14,2,241
118,947,9,27,2,242
119,947,6,14,2,242
120,947,8,26,2,246
121,947,1,13,2,248
122,998,1,103,2,249
123,998,13,9,2,250
124,998,3,4,2,251
125,998,7,6,2,251
126,677,1,64,2,252
127,677,1,10,2,259
128,677,5,15,2,259
129,677,6,120,2,259
130,677,3,5,2,261
131,344,2,39,2,264
132,344,6,25,2,265
133,344,6,36,2,267
134,527,6,4,2,267
135,527,2,37,2,268
136,658,2,8,2,269
137,658,4,1,2,270
138,481,8,7,2,270
139,481,2,35,2,271
140,812,2,23,2,273
141,812,2,22,2,273
142,387,13,34,2,276
143,387,4,24,2,277
144,702,2,16,2,278
145,702,5,2,2,280
146,702,3,29,2,281
147,702,3,12,2,282
148,702,1,4,2,289
149,702,7,21,2,291
150,702,2,28,2,291
151,702,5,10,2,291
152,702,4,4,2,299
153,29,2,32,1,301
154,328,4,23,2,301
155,23,2,45,1,301
156,23,1,23,1,302
157,658,1,33,2,304
158,658,3,53,2,310
159,658,1,34,2,311
160,658,3,28,2,312
161,658,4,31,2,318
162,658,3,30,2,319
163,697,2,39,2,320
164,697,2,28,2,320
165,697,13,3,2,320
166,697,6,15,2,320
167,697,3,11,2,321
168,697,6,41,2,321
169,828,298,8,3,325
170,828,19,554,3,327
171,828,155,355,3,331
172,828,78,999,3,337
173,828,396,999,3,340
174,828,213,162,3,341
175,828,29,130,3,342
176,828,1028,671,3,343
177,828,822,28,3,348
178,828,112,445,3,349
179,828,591,148,3,350
180,828,175,350,3,351
181,828,361,11,3,351
182,828,143,60,3,352
183,828,293,534,3,352
184,828,1470,459,3,357
185,828,111,1,3,359
186,828,367,245,3,364
187,828,132,295,3,370
188,828,429,999,3,377
189,828,214,78,3,377
190,828,134,115,3,382
191,195,2,8,2,392
192,195,2,22,2,392
193,195,6,63,2,397
194,195,8,8,2,398
195,195,2,6,2,398
196,195,3,19,2,399
197,195,2,41,2,399
198,195,2,94,2,399
199,195,1,77,2,406
200,278,3,51,2,406
201,278,3,3,2,408
202,278,7,16,2,409
203,278,10,64,2,412
204,278,5,73,2,413
205,285,4,45,2,414
206,285,3,6,2,416
207,285,8,50,2,419
208,285,3,19,2,419
209,952,2,88,2,419
210,607,6,4,2,421
211,594,5,46,1,421
212,594,2,57,1,424
