job-id,userid,expected-time-to-completion,memory,priority,arrival-time,submitted,gpuid
0,31,2,31,1,1,1,1
1,31,4,52,1,1,2,2
2,31,3,2,1,1,3,3
3,31,3,66,1,2,4,1
4,36,4,34,1,5,5,4
5,31,3,15,1,8,8,1
6,31,2,6,1,10,10,2
7,31,1,35,1,10,11,3
8,31,6,7,1,13,13,1
9,31,1,19,1,15,15,2
10,31,2,68,1,21,21,1
11,31,6,77,1,22,22,2
12,31,4,7,1,24,24,1
13,31,2,97,1,28,28,3
14,31,7,13,1,28,29,1
15,31,5,5,1,32,32,2
16,31,1,61,1,35,35,3
17,31,3,17,1,35,36,4
18,31,2,26,1,38,38,1
19,31,2,40,1,39,39,2
20,10,3,131,1,41,41,1
21,5,7,32,1,42,42,2
22,5,8,21,1,45,45,1
23,5,3,75,1,54,54,1
24,5,4,12,1,55,55,2
25,5,5,18,1,59,59,1
26,5,4,46,1,60,60,2
27,5,1,30,1,63,63,3
28,5,3,20,1,69,69,1
29,5,3,41,1,69,70,2
30,5,3,59,1,70,71,3
31,5,3,2,1,73,73,1
32,5,1,37,1,73,74,2
33,5,6,43,1,74,75,3
34,5,2,23,1,79,79,1
35,5,1,67,1,79,80,2
36,5,2,7,1,80,81,4
37,5,2,53,1,81,82,1
38,5,1,17,1,81,83,2
39,5,3,36,1,81,84,3
40,5,2,79,1,82,85,1
41,5,5,20,1,84,86,2
42,5,1,63,1,85,87,4
43,5,2,3,1,86,88,1
44,5,5,17,1,87,89,3
45,24,4,18,1,87,90,4
46,24,6,15,1,89,91,1
47,24,5,17,1,92,92,2
48,24,8,15,1,93,93,5
49,24,6,2,1,95,95,3
50,9,4,90,1,98,98,1
51,9,3,51,1,101,101,2
52,38,1,78,1,103,103,1
53,47,3,31,1,108,108,1
54,47,19,22,1,110,110,2
55,47,2,10,1,110,111,3
56,47,1,39,1,117,117,1
57,14,2,39,1,118,118,3
58,14,9,115,1,121,121,1
59,14,10,12,1,121,122,3
60,14,4,12,1,122,123,4
61,49,5,10,1,124,124,5
62,49,2,6,1,125,125,6
63,49,1,47,1,125,128,4
64,49,2,30,1,136,136,1
65,49,7,17,1,139,139,1
66,49,2,22,1,142,142,2
67,49,3,47,1,142,143,3
68,49,14,48,1,142,144,4
69,49,4,27,1,143,145,2
70,36,3,2,1,144,146,5
71,36,2,61,1,145,147,1
72,17,2,36,1,146,148,3
73,17,8,5,1,153,153,1
74,17,3,69,1,154,154,2
75,17,4,21,1,155,155,3
76,40,3,55,1,155,156,5
77,40,3,14,1,155,157,6
78,40,8,5,1,158,158,2
79,40,4,24,1,158,159,4
80,40,8,36,1,160,160,3
81,40,1,23,1,161,161,5
82,41,7,61,1,162,162,1
83,41,3,26,1,165,165,4
84,41,1,17,1,166,166,5
85,41,3,22,1,168,168,2
86,41,9,70,1,173,173,1
87,26,5,50,1,174,174,2
88,26,2,1,1,180,180,2
89,26,2,10,1,181,181,3
90,26,4,55,1,182,182,4
91,47,1,120,1,182,183,1
92,26,5,25,1,184,184,2
93,26,3,11,1,186,186,1
94,26,2,16,1,186,187,3
95,26,4,35,1,187,188,4
96,26,2,27,1,192,192,1
97,26,2,54,1,194,194,2
98,26,2,11,1,194,195,1
99,26,2,38,1,195,196,3
100,26,2,3,1,196,197,2
101,26,2,44,1,198,198,1
102,26,1,15,1,198,199,3
103,49,2,27,1,200,200,2
104,49,4,8,1,200,201,1
105,8,3,69,1,201,202,3
106,8,5,13,1,202,203,2
107,8,1,4,1,202,204,4
108,8,3,8,1,202,205,5
109,8,6,13,1,202,206,1
110,8,3,23,1,203,207,3
111,8,3,28,1,203,208,4
112,8,5,37,1,205,209,2
113,8,3,20,1,205,210,5
114,8,2,18,1,211,211,3
115,8,2,28,1,215,215,1
116,8,1,18,1,215,216,2
117,8,2,15,1,216,217,3
118,8,2,22,1,221,221,1
119,47,1,72,1,221,222,2
120,47,1,41,1,224,224,1
121,47,4,19,1,225,225,2
122,47,11,7,1,225,226,1
123,47,8,6,1,226,227,3
124,47,2,32,1,226,228,4
125,47,6,71,1,226,229,5
126,47,5,2,1,227,230,2
127,46,3,59,1,229,231,4
128,46,2,21,1,230,232,6
129,46,3,2,1,232,236,2
130,46,5,56,1,234,235,4
131,46,3,24,1,246,246,1
132,46,3,11,1,246,247,2
133,46,9,4,1,246,248,3
134,49,1,26,1,247,249,4
135,28,4,2,1,248,250,1
136,28,2,4,1,249,251,2
137,28,1,26,1,253,253,4
