job-id,userid,expected-time-to-completion,memory,priority,arrival-time
0,31,2,31,1,1
1,31,4,52,1,1
2,31,3,2,1,1
3,31,3,66,1,2
4,36,4,34,1,5
5,31,3,15,1,8
6,31,2,6,1,10
7,31,1,35,1,10
8,31,6,7,1,13
9,31,1,19,1,15
10,31,2,68,1,21
11,31,6,77,1,22
12,31,4,7,1,24
13,31,2,97,1,28
14,31,7,13,1,28
15,31,5,5,1,32
16,31,1,61,1,35
17,31,3,17,1,35
18,31,2,26,1,38
19,31,2,40,1,39
20,10,3,131,1,41
21,5,7,32,1,42
22,5,8,21,1,45
23,5,3,75,1,54
24,5,4,12,1,55
25,5,5,18,1,59
26,5,4,46,1,60
27,5,1,30,1,63
28,5,3,20,1,69
29,5,3,41,1,69
30,5,3,59,1,70
31,5,3,2,1,73
32,5,1,37,1,73
33,5,6,43,1,74
34,5,2,23,1,79
35,5,1,67,1,79
36,5,2,7,1,80
37,5,2,53,1,81
38,5,1,17,1,81
39,5,3,36,1,81
40,5,2,79,1,82
41,5,5,20,1,84
42,5,1,63,1,85
43,5,2,3,1,86
44,5,5,17,1,87
45,24,4,18,1,87
46,24,6,15,1,89
47,24,5,17,1,92
48,24,8,15,1,93
49,24,6,2,1,95
50,9,4,90,1,98
51,9,3,51,1,101
52,38,1,78,1,103
53,47,3,31,1,108
54,47,19,22,1,110
55,47,2,10,1,110
56,47,1,39,1,117
57,14,2,39,1,118
58,14,9,115,1,121
59,14,10,12,1,121
60,14,4,12,1,122
61,49,5,10,1,124
62,49,2,6,1,125
63,49,1,47,1,125
64,49,2,30,1,136
65,49,7,17,1,139
66,49,2,22,1,142
67,49,3,47,1,142
68,49,14,48,1,142
69,49,4,27,1,143
70,36,3,2,1,144
71,36,2,61,1,145
72,17,2,36,1,146
73,17,8,5,1,153
74,17,3,69,1,154
75,17,4,21,1,155
76,40,3,55,1,155
77,40,3,14,1,155
78,40,8,5,1,158
79,40,4,24,1,158
80,40,8,36,1,160
81,40,1,23,1,161
82,41,7,61,1,162
83,41,3,26,1,165
84,41,1,17,1,166
85,41,3,22,1,168
86,41,9,70,1,173
87,26,5,50,1,174
88,26,2,1,1,180
89,26,2,10,1,181
90,26,4,55,1,182
91,47,1,120,1,182
92,26,5,25,1,184
93,26,3,11,1,186
94,26,2,16,1,186
95,26,4,35,1,187
96,26,2,27,1,192
97,26,2,54,1,194
98,26,2,11,1,194
99,26,2,38,1,195
100,26,2,3,1,196
101,26,2,44,1,198
102,26,1,15,1,198
103,49,2,27,1,200
104,49,4,8,1,200
105,8,3,69,1,201
106,8,5,13,1,202
107,8,1,4,1,202
108,8,3,8,1,202
109,8,6,13,1,202
110,8,3,23,1,203
111,8,3,28,1,203
112,8,5,37,1,205
113,8,3,20,1,205
114,8,2,18,1,211
115,8,2,28,1,215
116,8,1,18,1,215
117,8,2,15,1,216
118,8,2,22,1,221
