jobid,total_wait,priority
0,3,2
1,6,2
2,8,2
3,6,2
4,1,2
5,1,2
6,1,2
7,4,2
8,4,2
9,5,2
10,6,2
11,3,2
12,9,2
13,3,2
14,2,2
15,2,2
16,2,2
17,12,2
18,6,2
19,7,2
20,2,2
21,3,2
22,5,2
23,1,2
24,2,2
25,4,2
26,5,2
27,1,2
28,8,2
29,7,2
30,3,2
31,1,2
32,4,2
33,2,2
34,2,2
35,6,2
36,5,2
37,4,2
38,5,2
39,2,2
40,3,2
41,3,2
42,4,2
43,3,2
44,4,2
45,1,2
46,1,2
47,6,2
48,1,2
49,3,2
50,4,2
51,5,2
52,1,2
53,4,2
54,2,2
55,2,2
56,6,2
57,3,2
58,1,2
59,3,2
60,4,2
61,10,2
62,4,2
63,1,2
64,1,2
65,2,2
66,2,2
67,3,2
68,5,2
69,4,2
70,3,2
71,2,2
72,2,2
73,3,2
74,4,2
75,5,2
76,1,2
77,2,2
78,3,2
79,4,2
80,3,2
81,2,2
82,3,2
83,5,2
84,2,2
85,6,2
86,1,2
87,3,2
88,1,2
89,4,2
90,2,2
91,2,2
92,4,2
93,5,2
94,2,2
95,3,2
96,4,2
97,15,2
98,3,2
99,8,2
100,2,2
101,2,2
102,7,2
103,1,2
104,5,2
105,10,2
106,2,2
107,7,2
108,7,2
109,2,2
110,5,2
111,2,2
112,3,2
113,3,2
114,4,2
115,1,2
116,1,2
117,2,2
118,9,2
119,6,2
120,8,2
121,1,2
122,1,2
123,13,2
124,3,2
125,7,2
126,1,2
127,1,2
128,5,2
129,6,2
130,3,2
131,2,2
132,6,2
133,6,2
134,6,2
135,2,2
136,2,2
137,4,2
138,10,2
139,2,2
140,2,2
141,3,2
142,13,2
143,4,2
144,2,2
145,5,2
146,3,2
147,3,2
148,1,2
149,7,2
150,2,2
151,5,2
152,4,2
153,2,1
154,4,2
155,2,1
156,1,1
157,1,2
158,3,2
159,1,2
160,3,2
161,4,2
162,3,2
163,2,2
164,2,2
165,13,2
166,6,2
167,5,2
168,8,2
169,298,3
170,19,3
171,155,3
172,78,3
173,396,3
174,213,3
175,34,3
176,46342,3
177,42484,3
178,425,3
179,33957,3
180,629,3
181,6771,3
182,595,3
183,3270,3
184,51026,3
185,129,3
186,6765,3
187,566,3
188,25085,3
189,644,3
190,556,3
191,28,2
192,37,2
193,168,2
194,186,2
195,40,2
196,108,2
197,45,2
198,33,2
199,11,2
200,50,2
201,55,2
202,166,2
203,187,2
204,120,2
205,95,2
206,83,2
207,171,2
208,71,2
209,4,2
210,151,2
211,122,1
212,2,1
213,114,1
214,2,2
215,170,2
216,5,2
217,145,2
218,4,2
219,47,2
220,62,1
221,2,1
222,2,1
223,54,1
224,51,1
225,47,1
226,57,2
227,2,2
228,4,2
229,20,2
230,54,1
231,2,1
232,105,1
233,2,1
234,1,1
235,5,1
236,24,1
237,40,1
238,103,1
239,4,1
240,3,1
241,95,1
242,3,1
243,5,1
244,5,1
245,3,1
246,71,2
247,5,2
248,1,2
249,91,2
250,18,2
251,30,2
252,1,2
253,63,2
254,4,2
255,8,2
256,3,2
257,3,2
258,2,2
259,2,2
260,5,2
261,6,2
262,3,2
263,7,2
264,94,2
265,54,2
266,11,2
267,5,2
268,32,2
269,65,2
270,30,2
271,3,2
272,7,2
273,3,2
274,3,2
275,1,2
276,5,2
277,10,2
278,4,2
279,3,2
280,3,2
281,3,2
282,10,2
283,5,2
284,3,2
285,8,2
286,37,2
287,25798,3
288,150,3
289,1063,3
290,226,3
291,26247,3
292,37730,3
293,76,3
294,139,3
295,3038,3
296,203,3
297,27523,3
298,3060,3
299,43354,3
300,3,2
301,23,2
302,10,2
303,2,2
304,47,2
305,22,2
306,6,2
307,11,2
308,18,2
309,13,2
310,15,2
311,2,2
312,2,2
313,8,2
314,13,2
315,7,2
316,4,2
317,7,2
318,3,2
319,5,2
320,5,2
321,6,2
322,7,2
323,3,2
324,7,2
325,2,2
326,4,2
327,13,2
328,6,2
329,9,2
330,3,2
331,3,2
332,118,2
333,127,2
334,43,2
335,90,2
336,60,2
337,56,2
338,135,2
339,65,2
340,32,2
341,107,2
342,56,2
343,38,2
344,32,2
345,88,2
346,13,2
347,19,2
348,82,2
349,3,2
350,27,2
351,36,2
352,1,2
353,7,2
354,1,2
355,1,2
356,46,2
357,5,2
358,41,2
359,3,2
360,5,2
361,2,2
362,31,2
363,61,2
364,1,2
365,2,2
366,9,2
367,6,2
368,1,2
369,49,1
370,7,1
371,3,2
372,6,2
373,45,2
374,6,2
375,2,2
376,4,2
377,1,2
378,5,2
379,2,2
380,6,2
381,1,2
382,2,2
383,2240,3
384,6,2
385,3,2
386,6,2
387,12,2
388,10,1
389,4,1
390,4,1
391,5,1
392,9,1
393,2,1
394,17,1
395,27,2
396,191,2
397,16,2
398,10,2
399,8,2
400,19,2
401,30,2
402,409,3
403,6325,3
404,209,3
405,32372,3
406,350,3
407,25072,3
408,167,2
409,3,2
410,14,2
411,9,2
412,4,2
413,19,2
414,1414,3
415,38289,3
416,36657,3
417,405,3
418,765,3
419,42666,3
420,275,3
421,42077,3
422,9,2
423,109,2
424,13,2
425,6,2
426,1,2
427,131,2
428,35,2
429,9,2
430,84,2
431,3,2
432,60,2
433,17,2
434,3,2
435,88,2
436,5,2
437,2,2
438,10,2
439,128,2
440,33276,3
441,32105,3
442,35128,3
443,136,3
444,203,3
445,81,3
446,43784,3
447,1254,3
448,2,2
449,46,2
450,73,2
451,6,2
452,7,2
453,6,2
454,20,2
455,4,2
456,7,2
457,70,2
458,7,2
459,13,2
460,5,2
461,21,2
462,10,1
463,4,1
464,4,1
465,1,2
466,25,2
467,41,2
468,5,2
469,1,2
470,3,2
471,3,2
472,2,2
473,4,2
474,1,2
475,6,2
476,3,2
477,7,2
478,4,2
479,8,2
480,2,2
481,6,2
482,4,2
483,2,2
484,2,1
485,4,1
486,3,1
487,5,1
488,1,1
489,2,1
490,3,1
491,6,1
492,8,2
493,1,1
494,1,1
495,3,1
496,7,1
497,21,1
498,2,1
499,6,2
500,2,2
501,1,2
502,4,2
503,15,2
504,10,2
505,6,2
506,2,2
507,6,2
508,6,2
509,18,2
510,9,2
511,4,2
512,12,2
513,6,2
514,3,1
515,4,1
516,4,1
517,7,1
518,5,1
519,3,1
520,5,1
521,17,1
522,6,1
523,1,1
524,8,1
525,3,2
526,2,2
527,25,2
528,3,2
529,116,2
530,104,2
531,66,2
532,11,2
533,12,2
534,59,2
535,30,2
536,7,2
537,2,2
538,54,2
539,100,2
540,1,2
541,13,2
542,3,2
543,8,2
544,3,2
545,75,2
546,49,2
547,46,2
548,42,2
549,9,2
550,4,2
551,1,2
552,83,2
553,15,2
554,90,2
555,7,2
556,50,2
557,49,2
558,46,2
559,1,2
560,11,2
561,23,2
562,2,2
563,2,2
564,3,2
565,1,2
566,2,2
567,60,2
568,2,2
569,2,2
570,15,2
571,15,2
572,39,2
573,4,2
574,3,2
575,3,2
576,3,2
577,4,2
578,6,2
579,22,2
580,5,2
581,1,2
582,1,2
583,7,2
584,2,2
585,7,2
586,2,2
587,106,3
588,208,3
589,153,3
590,168,3
591,35516,3
592,34,3
593,342,3
594,1860,3
595,23,3
596,30960,3
597,24,1
598,3,1
599,16,1
600,13,1
601,24,1
602,5,1
603,3,1
604,22,3
605,57,3
606,49883,3
607,40,3
608,418,3
609,961,3
610,2186,3
611,29434,3
612,30104,3
613,29,3
614,391,3
615,109,3
616,2178,3
617,1027,3
618,276,3
619,5,2
620,1,2
621,3,2
622,20,2
623,5,2
624,9,2
625,20,2
626,2,2
627,22,2
628,1,2
629,7,2
630,5,2
631,2,2
632,6,2
633,9,2
634,22,2
635,4,2
636,1,2
637,11,2
638,1,2
639,8,2
640,11,2
641,58,2
642,3,2
643,3,2
644,2,2
645,5,2
646,65,2
647,3,2
648,41,2
649,3,2
650,62,2
651,5,2
652,7,2
653,2,2
654,52,2
655,35,2
656,41,2
657,43,2
658,5,2
659,2,2
660,2,2
661,3,2
662,37,2
663,15,2
664,2,2
665,5,2
666,4,2
667,7,2
668,15,2
669,3,2
670,37,2
671,9,2
672,4,2
673,52,2
674,4,2
675,1,2
676,4,2
677,3,2
678,11,2
679,3,2
680,3,2
681,14,2
682,2,2
683,3,2
684,5,2
685,5,2
686,16,2
687,13,2
688,8,2
