jobid,total_wait,priority
0,2,1
1,4,1
2,3,1
3,3,1
4,4,1
5,3,1
6,2,1
7,1,1
8,6,1
9,1,1
10,2,1
11,6,1
12,4,1
13,2,1
14,7,1
15,5,1
16,1,1
17,3,1
18,2,1
19,2,1
20,3,1
21,7,1
22,8,1
23,3,1
24,4,1
25,5,1
26,4,1
27,1,1
28,3,1
29,3,1
30,3,1
31,3,1
32,1,1
33,6,1
34,2,1
35,1,1
36,2,1
37,2,1
38,1,1
39,3,1
40,2,1
41,5,1
42,1,1
43,2,1
44,5,1
45,4,1
46,6,1
47,5,1
48,8,1
49,6,1
50,4,1
51,3,1
52,1,1
53,3,1
54,19,1
55,2,1
56,1,1
57,2,1
58,9,1
59,10,1
60,4,1
61,5,1
62,6,1
63,3,1
64,2,1
65,7,1
66,2,1
67,3,1
68,14,1
69,4,1
70,6,1
71,2,1
72,2,1
73,8,1
74,3,1
75,6,1
76,3,1
77,3,1
78,9,1
79,4,1
80,8,1
81,2,1
82,7,1
83,3,1
84,1,1
85,3,1
86,9,1
87,5,1
88,2,1
89,2,1
90,4,1
91,1,1
92,5,1
93,3,1
94,2,1
95,4,1
96,2,1
97,2,1
98,2,1
99,2,1
100,2,1
101,2,1
102,1,1
103,2,1
104,4,1
105,3,1
106,8,1
107,1,1
108,3,1
109,11,1
110,3,1
111,4,1
112,6,1
113,3,1
114,2,1
115,2,1
116,1,1
117,2,1
118,2,1
119,1,1
120,1,1
121,4,1
122,11,1
123,8,1
124,2,1
125,6,1
126,11,1
127,3,1
128,2,1
129,4,1
130,5,1
131,3,1
132,3,1
133,9,1
134,1,1
135,4,1
136,2,1
137,1,1
138,2,1
139,4,1
140,3,1
141,3,1
142,3,1
143,6,1
144,1,1
145,6,1
146,6,1
147,1,1
148,1,1
149,9,1
150,1,1
151,4,1
152,7,1
153,15,1
154,2,1
155,9,1
156,5,1
157,4,1
158,3,1
159,4,1
160,1,1
161,8,1
162,1,1
163,3,1
164,2,1
165,3,1
166,9,1
167,13,1
168,9,1
169,5,1
170,5,1
171,1,1
172,8,1
173,1,1
174,1,1
175,5,1
176,8,1
177,1,1
178,4,1
179,3,1
180,6,1
181,2,1
182,3,1
183,1,1
184,8,1
185,3,1
186,1,1
187,2,1
188,1,1
189,2,1
190,7,1
191,4,1
192,4,1
193,3,1
194,4,1
195,2,1
196,1,1
197,4,1
198,3,1
199,9,1
200,4,1
201,3,1
202,5,1
203,2,1
204,8,1
205,2,1
206,2,1
207,2,1
208,2,1
209,2,1
210,1,1
211,2,1
212,7,1
213,3,1
214,6,1
215,14,1
216,3,1
217,2,1
218,3,1
219,4,1
220,6,1
221,9,1
222,2,1
223,2,1
224,2,1
225,10,1
226,3,1
227,2,1
228,3,1
229,1,1
230,2,1
231,3,1
232,2,1
233,1,1
234,4,1
235,4,1
236,11,1
237,1,1
238,2,1
239,3,1
240,4,1
241,6,1
242,3,1
243,1,1
244,6,1
245,7,1
246,16,1
247,7,1
248,1,1
249,4,1
250,3,1
251,9,1
252,3,1
253,4,1
254,1,1
255,1,1
256,1,1
257,3,1
258,6,1
259,3,1
260,1,1
261,1,1
262,2,1
263,3,1
264,3,1
265,9,1
266,4,1
267,9,1
268,1,1
269,2,1
270,2,1
271,2,1
272,7,1
273,6,1
274,2,1
275,9,1
276,2,1
277,2,1
278,6,1
279,2,1
280,9,1
281,2,1
282,2,1
283,5,1
284,2,1
285,2,1
286,3,1
287,3,1
288,12,1
289,3,1
290,3,1
291,5,1
292,3,1
293,8,1
294,2,1
295,1,1
296,4,1
297,5,1
298,3,1
299,5,1
300,3,1
301,5,1
302,1,1
303,2,1
304,19,1
305,8,1
306,3,1
307,6,1
308,5,1
309,3,1
310,7,1
311,5,1
312,2,1
313,8,1
314,2,1
315,2,1
316,2,1
317,2,1
318,1,1
319,2,1
320,7,1
321,6,1
322,2,1
323,3,1
324,2,1
325,1,1
326,1,1
327,1,1
328,1,1
329,3,1
330,7,1
331,3,1
332,7,1
333,2,1
334,7,1
335,8,1
336,2,1
337,12,1
338,5,1
339,3,1
340,6,1
341,5,1
342,11,1
343,1,1
344,15,1
345,4,1
346,1,1
347,4,1
348,6,1
349,3,1
350,2,1
351,1,1
352,9,1
353,5,1
354,3,1
355,2,1
356,5,1
357,2,1
358,2,1
359,2,1
360,3,1
361,10,1
362,2,1
363,4,1
364,3,1
365,11,1
366,4,1
367,8,1
368,1,1
369,3,1
370,5,1
371,2,1
372,5,1
373,3,1
374,5,1
375,1,1
376,1,1
377,3,1
378,1,1
379,3,1
380,5,1
381,2,1
382,1,1
383,2,1
384,2,1
385,3,1
386,5,1
387,7,1
388,10,1
389,5,1
390,2,1
391,2,1
392,5,1
393,1,1
394,4,1
395,4,1
396,2,1
397,3,1
398,1,1
399,4,1
400,2,1
401,2,1
402,3,1
403,2,1
404,2,1
405,2,1
406,3,1
407,13,1
408,5,1
409,1,1
410,2,1
411,10,1
412,7,1
413,2,1
414,8,1
415,8,1
416,3,1
417,6,1
418,2,1
419,2,1
420,1,1
421,3,1
422,5,1
423,10,1
424,3,1
425,5,1
426,6,1
427,11,1
428,1,1
429,4,1
430,3,1
431,3,1
432,1,1
433,13,1
434,3,1
435,1,1
436,3,1
437,5,1
438,1,1
439,4,1
440,9,1
441,6,1
442,10,1
443,4,1
444,1,1
445,3,1
446,2,1
447,1,1
448,3,1
449,1,1
450,2,1
451,3,1
452,6,1
453,5,1
454,1,1
455,1,1
456,7,1
457,3,1
458,7,1
459,10,1
460,3,1
461,4,1
462,9,1
463,2,1
464,1,1
465,8,1
466,1,1
467,1,1
468,3,1
469,4,1
470,2,1
471,8,1
472,3,1
473,3,1
474,4,1
475,9,1
476,4,1
477,2,1
478,4,1
479,1,1
480,2,1
481,8,1
482,2,1
483,2,1
484,3,1
485,7,1
486,1,1
487,4,1
488,6,1
489,2,1
490,2,1
491,1,1
492,1,1
493,2,1
494,29,1
495,1,1
496,4,1
497,3,1
498,5,1
499,4,1
500,3,1
501,2,1
502,14,1
503,4,1
504,6,1
505,3,1
506,2,1
507,3,1
508,3,1
509,2,1
510,2,1
511,1,1
512,3,1
513,5,1
514,2,1
515,5,1
516,1,1
517,5,1
518,7,1
519,2,1
520,3,1
521,11,1
522,5,1
