userid,expected-time-to-completion,memory,priority,arrival-time
700,2,69,2,2
700,3,23,2,4
700,1,44,2,6
700,2,69,2,10
443,1,148,2,11
430,2,14,2,19
430,5,74,2,21
893,3,11,2,24
893,5,78,2,28
893,6,43,2,30
893,4,3,2,30
264,4,2,2,33
264,2,32,2,33
335,9,2,2,34
335,3,37,2,36
335,9,39,2,41
335,5,39,2,42
335,11,9,2,43
335,1,2,2,44
335,2,23,2,45
335,15,28,2,46
335,6,63,2,47
335,3,56,2,49
335,5,35,2,49
335,3,14,2,50
335,3,30,2,52
335,3,5,2,52
335,3,9,2,52
335,1,77,2,53
335,5,21,2,59
335,1,40,2,60
335,3,11,2,61
130,3,5,2,61
130,7,20,2,63
130,2,39,2,66
130,8,17,2,69
130,2,75,2,71
130,3,23,2,71
130,3,62,2,76
130,16,22,2,76
130,4,32,2,76
130,1,2,2,77
130,1,20,2,77
89,4,4,2,78
356,5,64,2,79
356,5,31,2,82
356,3,64,2,85
356,3,3,2,86
356,5,47,2,89
715,2,25,1,90
715,3,21,1,93
715,2,8,1,94
715,1,5,1,95
715,3,47,1,96
174,5,19,1,100
174,5,41,1,100
174,3,9,1,100
174,1,1,1,101
597,5,18,2,106
597,2,65,2,107
597,2,82,2,108
792,4,23,2,111
792,1,9,2,112
792,3,10,2,113
967,1,3,2,114
967,7,11,2,119
58,2,9,1,120
58,6,12,1,122
58,8,13,1,122
713,2,36,2,125
713,3,153,2,126
713,2,6,2,127
713,10,5,2,128
713,5,18,2,129
713,4,8,2,134
713,2,33,2,138
828,3,37,2,140
828,10,9,2,147
828,3,32,2,149
828,3,27,2,150
828,6,27,2,158
691,2,77,2,159
691,2,25,2,164
691,4,20,2,167
691,2,4,2,167
206,2,20,2,172
206,4,24,2,173
206,5,18,2,173
206,3,9,2,174
861,2,51,1,177
861,4,49,1,179
861,5,120,1,180
861,2,7,1,184
861,2,24,1,186
861,3,5,1,191
861,3,4,1,193
861,2,17,1,194
861,7,28,1,199
861,7,77,1,199
861,2,158,1,201
861,4,7,1,201
656,9,53,2,203
656,22,46,2,204
656,7,16,2,204
656,3,3,2,204
656,8,9,2,207
656,2,17,2,209
319,4,6,2,209
319,9,5,2,212
319,6,15,2,213
578,6,56,2,216
578,2,12,2,216
681,3,20,2,216
681,3,34,2,224
681,14,18,2,228
681,6,23,2,232
681,5,34,2,232
681,3,54,2,234
681,4,4,2,237
681,2,34,2,237
681,1,14,2,238
681,5,23,2,241
681,3,3,2,241
681,7,45,2,253
681,8,4,2,255
681,1,2,2,263
681,7,31,2,270
681,2,38,2,272
681,5,12,2,273
681,5,31,2,275
681,3,42,2,277
681,2,11,2,280
340,4,11,2,281
340,4,39,2,282
340,7,24,2,282
340,2,100,2,286
355,3,73,2,289
355,4,8,2,293
355,8,46,2,294
355,3,69,2,297
355,6,6,2,300
902,10,17,2,301
902,5,108,2,304
902,4,9,2,305
902,6,20,2,306
902,1,50,2,307
902,5,3,2,308
902,2,27,2,320
221,2,10,2,323
960,2,4,2,324
960,9,51,2,325
960,2,25,2,326
960,9,163,2,326
960,3,199,2,329
383,6,1,2,338
383,2,21,2,341
978,2,5,2,350
978,3,44,2,353
978,10,10,2,355
978,3,40,2,355
978,2,2,2,358
978,3,18,2,360
537,2,3,2,361
780,3,39,2,362
780,5,36,2,367
811,2,38,1,367
811,6,61,1,368
534,6,36,1,372
597,1,5,2,374
597,2,51,2,374
376,5,14,2,376
376,2,35,2,380
376,3,20,2,382
376,4,9,2,383
376,5,1,2,392
376,8,18,2,394
376,4,44,2,396
376,1,4,2,398
376,3,62,2,399
376,3,63,2,399
376,8,2,2,402
376,5,5,2,404
559,2,38,2,408
559,2,13,2,409
559,5,10,2,409
559,4,49,2,411
546,2,26,1,411
546,2,22,1,411
546,6,26,1,412
546,5,6,1,413
546,12,10,1,415
546,8,96,1,416
546,9,33,1,422
546,2,14,1,422
546,3,22,1,424
546,3,54,1,427
546,1,38,1,428
546,7,30,1,428
546,2,9,1,431
546,5,35,1,432
546,1,5,1,433
546,2,19,1,435
546,3,33,1,437
