userid,expected-time-to-completion,memory,priority,arrival-time
37,13,25,2,3
37,4,1,2,4
37,3,2,2,5
37,2,19,2,7
37,2,39,2,7
37,3,14,2,12
704,3,4,2,15
704,6,40,2,15
704,5,70,2,19
704,3,1,2,25
704,2,12,2,26
704,3,20,2,27
704,1,78,2,33
704,6,19,2,45
919,1,26,2,48
919,3,5,2,48
919,4,37,2,49
919,4,22,2,49
919,2,3,2,49
919,3,58,2,53
954,282,12,3,57
954,181,235,3,57
954,187,999,3,57
954,549,252,3,57
954,460,314,3,61
954,529,503,3,63
954,8,158,3,64
954,30,497,3,65
921,160,866,3,69
921,90,999,3,70
588,3,67,2,71
588,1,40,2,72
588,6,54,2,79
588,2,41,2,80
467,2,29,2,80
790,2,41,2,82
790,1,52,2,84
790,7,25,2,85
790,5,5,2,86
790,1,10,2,89
790,3,7,2,90
790,2,8,2,94
389,513,214,3,95
389,564,256,3,97
389,1094,384,3,98
389,94,244,3,99
389,160,261,3,100
368,3,10,2,104
368,2,7,2,113
368,5,7,2,115
79,2,11,2,116
79,6,61,2,117
882,4,28,1,119
882,4,17,1,119
489,5,49,1,120
489,2,116,1,125
340,603,966,3,126
340,366,310,3,127
340,161,105,3,127
340,303,432,3,130
75,4,5,2,134
75,6,50,2,135
75,11,7,2,135
75,2,12,2,137
75,3,87,2,138
75,4,35,2,142
75,1,11,2,143
75,9,6,2,143
846,4,22,2,146
846,2,44,2,148
846,2,41,2,149
846,4,10,2,150
846,8,2,2,151
253,3,16,1,152
253,10,25,1,153
253,2,4,1,154
253,2,11,1,164
400,2,72,2,164
400,2,24,2,164
400,4,107,2,165
471,2,34,2,166
471,3,7,2,167
471,4,25,2,167
138,8,8,2,169
138,5,11,2,169
138,14,39,2,170
138,3,70,2,170
138,3,21,2,171
833,1,72,2,173
833,3,30,2,174
833,2,96,2,174
833,2,16,2,175
833,1,17,2,176
833,3,2,2,178
780,1,4,2,179
780,1,30,2,180
780,2,112,2,182
780,2,18,2,182
780,4,10,2,186
780,2,22,2,188
780,2,1,2,190
780,4,59,2,192
195,2,23,2,195
195,9,26,2,199
886,2,84,2,199
886,5,81,2,199
886,8,60,2,204
886,4,8,2,208
781,5,31,2,212
781,2,35,2,213
128,5,20,2,218
128,5,23,2,218
128,5,4,2,221
63,6,62,2,221
63,3,9,2,221
63,1,82,2,227
922,8,4,2,228
922,1,12,2,228
641,3,4,2,229
132,10,31,2,229
132,4,20,2,233
132,9,22,2,233
132,9,12,2,234
132,2,3,2,241
132,2,10,2,241
132,3,43,2,242
132,2,50,2,243
132,5,13,2,245
132,3,51,2,247
132,2,181,2,248
611,1,2,2,250
611,2,24,2,250
611,6,37,2,250
611,6,22,2,252
611,9,36,2,253
611,2,14,2,254
611,2,71,2,256
611,2,9,2,257
611,6,93,2,258
611,5,120,2,260
611,3,5,2,262
611,3,15,2,263
611,6,9,2,264
611,2,11,2,269
611,7,39,2,270
611,4,26,2,272
611,5,21,2,272
430,1,26,2,272
430,5,29,2,272
430,1,47,2,275
430,16,35,2,280
430,8,1,2,282
325,1,55,2,283
325,10,10,2,288
325,2,19,2,289
325,1,40,2,292
325,4,36,2,295
325,10,6,2,297
325,3,12,2,297
325,3,25,2,298
325,2,19,2,300
325,2,2,2,304
325,10,24,2,304
325,3,29,2,304
325,4,18,2,305
325,7,66,2,305
832,4,15,2,307
832,7,19,2,307
832,3,29,2,307
599,6,26,2,310
599,1,14,2,311
599,4,8,2,315
298,5,3,2,315
298,3,39,2,316
298,2,52,2,317
298,1,33,2,317
169,2,34,2,318
169,1,8,2,319
169,1,39,2,320
169,3,7,2,322
169,4,34,2,324
169,1,20,2,325
948,2,10,1,327
948,3,20,1,327
948,10,50,1,330
948,2,54,1,332
948,1,25,1,345
948,2,76,1,346
948,5,10,1,346
859,15,27,2,346
859,5,49,2,348
859,5,3,2,351
859,7,17,2,352
859,3,23,2,354
859,1,34,2,357
342,5,10,2,359
342,4,4,2,359
342,2,124,2,360
342,3,6,2,360
493,334,73,3,367
493,132,584,3,368
493,219,54,3,369
352,12,77,2,370
352,1,26,2,370
655,2,136,2,373
655,1,16,2,373
655,2,14,2,374
738,3,9,2,374
738,2,24,2,376
738,4,46,2,377
738,7,3,2,381
738,3,110,2,381
738,2,19,2,382
738,3,47,2,382
738,2,9,2,382
97,1269,277,3,383
68,1,10,2,385
835,8,79,2,386
438,2,19,2,386
438,2,11,2,392
717,516,146,3,394
717,935,774,3,396
496,4,36,2,399
496,1,46,2,399
496,2,24,2,399
447,2,5,2,401
447,7,26,2,402
146,3,26,2,402
146,3,1,2,403
825,1,37,2,410
825,4,25,2,416
604,1,15,1,416
604,2,14,1,416
604,5,78,1,422
604,10,28,1,423
604,1,22,1,425
604,2,10,1,431
604,1,4,1,431
604,5,38,1,431
604,5,44,1,432
604,1,22,1,434
604,4,50,1,437
604,10,27,1,443
43,5,23,2,445
43,4,23,2,449
43,2,27,2,452
43,2,34,2,452
22,1,31,2,452
885,2,78,2,453
885,5,5,2,453
688,3,58,2,454
688,12,31,2,458
911,7,29,2,458
554,15,7,2,459
554,3,33,2,460
554,12,125,2,464
554,1,27,2,466
554,2,16,2,466
57,9,9,2,467
57,1,2,2,467
57,2,6,2,468
57,7,38,2,469
57,6,4,2,470
57,7,14,2,471
57,5,5,2,473
57,4,6,2,476
57,6,55,2,476
57,2,46,2,481
756,2,30,2,481
635,4,47,2,482
635,3,23,2,483
635,3,3,2,487
635,4,21,2,487
635,3,119,2,489
646,4,13,2,492
229,646,343,3,492
229,436,91,3,493
640,10,2,2,494
640,4,77,2,495
640,2,116,2,501
640,5,13,2,503
640,3,6,2,507
640,1,7,2,511
640,2,27,2,512
640,2,57,2,514
640,2,22,2,514
640,1,18,2,516
903,2,7,2,521
903,1,39,2,521
903,3,5,2,524
2,5,35,2,525
2,1,16,2,526
2,2,8,2,528
2,2,22,2,532
2,11,25,2,532
2,2,14,2,533
2,5,22,2,533
897,7,5,2,534
540,1,61,2,538
540,4,2,2,540
540,5,22,2,542
540,6,15,2,542
979,143,129,3,543
979,537,494,3,543
22,13,12,2,546
22,6,59,2,547
22,4,11,2,549
22,1,55,2,554
22,4,46,2,555
22,2,96,2,556
22,7,30,2,556
22,3,31,2,559
22,1,17,2,559
22,2,13,2,566
22,9,9,2,569
93,619,25,3,569
93,970,108,3,573
192,2,2,2,577
192,8,105,2,577
192,3,5,2,579
192,8,94,2,580
192,2,16,2,583
192,2,2,2,584
192,3,3,2,591
192,1,13,2,591
192,10,101,2,592
192,10,14,2,592
192,2,3,2,594
192,3,28,2,597
192,4,16,2,599
192,4,13,2,601
192,2,34,2,603
192,1,30,2,607
192,2,43,2,608
303,3,5,2,611
303,2,58,2,612
303,4,35,2,614
303,1,14,2,616
303,2,4,2,616
303,1,86,2,617
303,8,12,2,618
303,1,67,2,623
303,2,37,2,626
303,1,7,2,627
303,1,28,2,628
303,2,36,2,636
303,3,19,2,642
303,3,18,2,642
303,1,22,2,642
303,3,37,2,642
303,6,8,2,643
303,2,9,2,644
303,7,12,2,645
303,3,88,2,646
303,8,8,2,646
303,5,19,2,647
303,2,11,2,648
303,6,4,2,648
303,7,19,2,655
303,2,6,2,657
303,4,10,2,657
303,2,13,2,657
303,1,14,2,657
303,1,31,2,661
303,8,3,2,661
303,3,21,2,663
303,7,18,2,664
303,3,22,2,668
303,3,5,2,668
303,6,31,2,670
303,1,18,2,674
303,7,4,2,675
303,9,24,2,675
498,2,90,2,676
498,2,36,2,677
498,6,68,2,681
498,5,72,2,686
498,6,18,2,687
498,11,136,2,691
498,3,69,2,691
498,3,6,2,691
233,1,64,2,694
500,10,56,2,694
500,8,15,2,695
500,4,29,2,697
500,4,22,2,699
500,2,24,2,700
500,2,26,2,703
500,2,10,2,711
500,1,15,2,717
500,12,31,2,719
500,2,48,2,720
795,3,3,2,721
230,1,24,2,722
230,1,4,2,723
230,1,6,2,724
230,6,121,2,726
230,2,26,2,728
230,4,36,2,730
230,8,138,2,734
230,1,44,2,736
230,8,57,2,739
230,1,38,2,739
230,5,12,2,739
397,5,59,2,741
320,2,34,1,742
320,3,8,1,743
320,4,14,1,745
320,19,26,1,749
320,3,10,1,752
320,1,34,1,756
320,3,234,1,760
320,1,21,1,766
831,2,112,2,768
831,2,29,2,768
831,7,70,2,768
831,5,43,2,770
831,4,8,2,771
831,1,31,2,775
831,4,64,2,777
386,1,10,2,780
386,1,54,2,780
386,1,43,2,780
673,919,376,3,784
673,984,282,3,784
673,115,528,3,785
673,128,653,3,787
588,1,43,2,788
588,3,9,2,791
588,4,8,2,793
588,2,35,2,794
588,2,16,2,796
931,2,4,2,797
931,5,24,2,798
931,4,57,2,800
931,3,34,2,800
6,14,58,2,802
6,2,62,2,803
6,2,9,2,804
6,3,11,2,806
6,2,59,2,807
6,2,57,2,808
6,6,33,2,812
245,7,60,2,818
245,5,19,2,819
944,2,13,2,821
63,3,1,2,822
938,1,17,2,822
938,3,43,2,822
938,4,14,2,822
938,5,73,2,823
729,3,77,1,824
729,2,20,1,824
729,1,50,1,825
729,2,30,1,827
212,88,302,3,827
212,57,293,3,827
227,2,18,2,831
227,2,2,2,832
227,8,39,2,835
227,6,9,2,837
227,3,18,2,837
806,4,62,2,837
806,5,28,2,838
806,6,54,2,839
806,5,4,2,840
806,4,8,2,840
806,3,10,2,842
806,7,58,2,845
597,6,48,2,847
597,4,23,2,851
200,164,31,3,851
200,269,246,3,852
200,1229,243,3,855
200,588,5,3,857
200,212,585,3,858
200,92,283,3,861
200,1205,181,3,862
200,267,165,3,864
200,511,440,3,865
200,34,402,3,867
200,120,9,3,873
200,470,359,3,874
200,10,60,3,876
200,347,90,3,877
200,184,8,3,878
200,230,29,3,881
200,48,279,3,882
200,241,162,3,883
200,147,69,3,886
200,162,452,3,888
455,3,108,2,890
455,6,14,2,893
455,1,61,2,898
455,3,49,2,904
455,11,33,2,904
455,3,9,2,906
986,5,34,2,911
849,160,336,3,911
849,64,445,3,915
849,148,322,3,915
849,853,581,3,915
849,588,210,3,916
849,5,155,3,917
849,89,705,3,926
849,262,64,3,928
849,7,25,3,932
849,211,243,3,934
849,25,729,3,934
716,3,15,2,934
716,6,91,2,935
716,3,25,2,937
716,10,2,2,940
315,1,23,2,940
838,2,27,2,943
838,1,23,2,946
838,1,17,2,946
838,7,34,2,947
838,3,82,2,950
838,2,1,2,956
838,3,31,2,956
973,2,11,2,956
973,4,23,2,956
973,1,71,2,957
973,4,26,2,959
973,1,63,2,960
973,2,43,2,962
973,6,43,2,962
973,2,6,2,962
973,9,3,2,963
973,2,4,2,965
973,4,2,2,970
973,6,2,2,975
973,2,65,2,977
973,6,2,2,980
808,11,31,2,980
808,9,7,2,980
808,1,15,2,981
808,2,2,2,984
159,3,121,2,986
159,5,24,2,986
159,10,12,2,987
298,3,2,2,987
298,5,20,2,989
298,5,94,2,990
298,3,2,2,991
298,1,84,2,991
298,2,4,2,991
298,1,34,2,991
298,10,5,2,995
298,2,18,2,996
298,5,8,2,999
298,2,6,2,999
553,4,54,2,1000
553,4,10,2,1004
553,2,71,2,1006
553,2,78,2,1006
172,6,17,2,1007
172,4,10,2,1010
172,2,4,2,1012
