userid,expected-time-to-completion,memory,priority,arrival-time
9,1,77,1,5
9,14,8,1,7
9,6,29,1,7
0,2,15,1,8
0,5,73,1,8
0,3,82,1,9
0,3,25,1,12
0,5,25,1,13
0,3,2,1,14
0,3,1,1,20
0,9,16,1,23
0,1,47,1,24
0,8,69,1,27
0,9,24,1,36
9,2,47,1,41
9,7,22,1,43
9,1,14,1,45
46,4,3,1,45
46,2,22,1,48
35,1,36,1,52
42,4,52,1,53
42,3,10,1,53
42,2,21,1,53
42,4,23,1,56
42,1,6,1,58
42,1,32,1,60
42,3,31,1,61
42,2,11,1,63
42,5,28,1,64
42,8,19,1,65
42,7,2,1,70
42,2,45,1,71
42,3,82,1,71
42,3,49,1,75
42,1,24,1,75
42,5,11,1,82
5,1,37,1,82
5,1,19,1,90
5,3,26,1,100
2,3,11,1,102
2,1,3,1,102
9,7,5,1,102
9,6,9,1,103
9,1,9,1,105
9,8,29,1,110
9,4,5,1,110
10,3,13,1,110
10,5,31,1,112
10,1,15,1,112
10,13,18,1,113
10,3,42,1,115
5,4,14,1,115
4,2,4,1,117
4,6,8,1,117
4,10,15,1,121
4,3,11,1,122
4,4,51,1,123
4,3,11,1,124
4,3,30,1,125
43,1,15,1,125
43,2,25,1,128
43,1,20,1,141
43,4,5,1,142
43,3,7,1,145
43,2,20,1,148
6,2,15,1,148
6,2,71,1,148
6,5,30,1,148
7,2,46,1,150
7,1,26,1,150
24,5,40,1,160
24,3,73,1,161
27,1,35,1,162
27,2,51,1,162
27,4,88,1,164
27,2,16,1,165
27,2,12,1,165
27,2,35,1,168
27,5,15,1,168
27,5,12,1,172
27,5,61,1,178
38,3,10,1,180
38,2,41,1,181
38,6,65,1,184
38,6,31,1,187
38,1,7,1,189
47,2,23,1,189
47,2,28,1,191
47,2,46,1,191
47,6,11,1,191
47,9,1,1,192
47,2,2,1,193
47,6,22,1,195
47,2,56,1,195
47,4,38,1,205
47,4,47,1,205
47,4,2,1,206
47,2,54,1,207
47,1,15,1,209
47,4,33,1,212
47,5,6,1,213
47,4,27,1,214
47,10,10,1,218
46,2,47,1,221
46,5,129,1,222
13,8,44,1,222
20,10,24,1,222
20,1,19,1,225
20,2,125,1,229
33,1,33,1,234
33,2,8,1,236
33,2,8,1,236
33,3,28,1,237
33,8,10,1,239
33,2,2,1,240
33,5,11,1,241
33,3,98,1,248
33,6,33,1,248
33,3,72,1,248
33,9,129,1,249
33,4,19,1,251
33,1,9,1,252
33,3,56,1,253
33,4,33,1,255
33,1,22,1,256
33,2,21,1,257
33,12,51,1,261
33,5,20,1,261
14,1,51,1,262
14,4,19,1,262
14,2,4,1,262
